--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 nkyerɛkyerɛ             	 nkyerɛkyerɛ             	0.3078
 Lollardfo               	 Lollardfo               	0.7553
 Romosa                  	 Romosa                  	0.9516
 Amaniampɔn              	 Amoniampɔn              	0.0426
 Balamon                 	 Balamon                 	0.9912
 Silpa                   	 Silpa                   	0.5912
 yenhyia                 	 yenhyia                 	0.3566
 wɔbɛsew                 	 wɔbɛsew                 	0.3940
 Mihia                   	 Mihia                   	0.9779
 ɔfaeɛ                   	 ɔfaeɛ                   	0.9913
 wɔkɔe                   	 wɔkɔe                   	0.6595
 nnɔnnsia                	 nnɔnnsia                	0.6531
 HWANG                   	 HWANG                   	0.9667
 Afism                   	 Afism                   	0.8278
 Via                     	 Via                     	0.5818
 ɔbɛpamo                 	 ɔbɛpamo                 	0.7820
 ɔmmɛhyira               	 ɔmmɛhyira               	0.8045
 Distanɔe                	 Distanɔe                	0.2869
 aɔɔording               	 aɔɔording               	0.4920
 BILLINGS                	 BILLINGS                	0.1843
 Yadin                   	 Yadin                   	0.9839
 hwɛ                     	 hwɛ                     	0.7477
 ɔkannifo                	 ɔkannifo                	0.9728
 Metua                   	 Metua                   	0.6943
 Okuaa.                  	 Okuaa.                  	0.9404
 Loesɔher                	 Loesɔher                	0.9954
 frɔmfrɔm.               	 frɔmfrɔm.               	0.7015
 nkyenhahan              	 nkyenhanen              	0.1223
 miɔrowave               	 miɔruwase               	0.2366
 Tarsis                  	 Tarsis                  	0.9722
 wira?                   	 wira?                   	0.4588
 woduaduaa               	 woduaduaa               	0.7949
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Muntwitwa               	 Muntwitwa               	0.5669
 monnie.                 	 monnie.                 	0.4556
 ɛhyɛɛ                   	 ɛhyɛɛ                   	0.9977
 Blaɔkburn               	 Btaɔkburo               	0.2233
 Wprost                  	 Wprost                  	0.9004
 asakrasakra             	 asakrasakra             	0.3390
 hɔ                      	 hɔ                      	0.9973
 kɛntɛnnwene             	 kɛntɛnnwene             	0.3015
 hwehwɛbea               	 hwehwɛbea               	0.8885
 yɛawatriw               	 yɛawatriw               	0.3919
 Bologna                 	 Bologna                 	0.7340
 Helafoɔ                 	 Helafoɔ                 	0.9985
 anikyeɛ!                	 anikyeɛ!                	0.9669
 Ehua                    	 Ehua                    	0.3765
 Mannu                   	 Mannu                   	0.5165
 rehwɛ.                  	 rehwɛ.                  	0.5582
 kabea                   	 kabea                   	0.7394
 Yɛwoo                   	 Yɛwoo                   	0.7384
 ELUL                    	 ELUL                    	0.9824
 koankorɔ                	 koankorɔ                	0.9941
 Wɔremfiri               	 Wɔremfiri               	0.4772
 Referenɔes              	 Referenɔes              	0.4997
 wokopuee                	 wokopuee                	0.8437
 epie                    	 epie                    	0.8955
 ɔkasafoɔ                	 ɔkasafoɔ                	0.6132
 oguannam                	 oguanmam                	0.2794
 ɔkoto                   	 ɔkoto                   	0.8041
 akokoaa                 	 akokoaa                 	0.8050
 ɛbue                    	 ɛbue                    	0.7751
 nnwomtoɔ                	 nnwomtoɔ                	0.9156
 susui                   	 susui                   	0.9025
 bien                    	 bien                    	0.5433
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 yɛkyekyɛm               	 yɛkyekyɛm               	0.5644
 ɔhene                   	 ɔhene                   	0.9911
 moaba                   	 moaba                   	0.9703
 Yɛabue                  	 Yɛabue                  	0.4856
 ɔnkyekyere              	 ankyekyeee              	0.0485
 ype                     	 ype                     	0.9456
 ANIDASO                 	 ANIDASO                 	0.5173
 wonhwɛɛ                 	 wonhwɛɛ                 	0.5096
 Asennibea               	 Asernibeoa              	0.0676
 okurakura               	 okurakura               	0.4202
 Wobɛwo                  	 Wobɛwo                  	0.3633
 NHUMU                   	 NHUMU                   	0.8796
 Merɔier                 	 Merɔier                 	0.9425
 Alamy                   	 Alamy                   	0.9889
 Into                    	 Into                    	0.8563
 Seismologiɔal           	 Geamniogiɔat            	0.0288
 MɔDougall               	 MɔDougall               	0.6050
 Yenkura                 	 Yenkura                 	0.6708
 ɔrete                   	 ɔrete                   	0.6625
 puee                    	 puee                    	0.9574
 rekda                   	 rekda                   	0.9356
 Nkyerɛɛ                 	 Nkyerɛɛ                 	0.9805
 yrehwehw                	 yrehwehw                	0.3221
 Bibles                  	 Bibles                  	0.6951
 FRANKAAKYIA             	 TRANEAMETiA             	0.0015
 wɔmmɛsom                	 wɔmmɛsom                	0.5411
 AWAREGU                 	 AWAREGU                 	0.8289
 Isidore                 	 Isidore                 	0.9650
 Pung                    	 Pung                    	0.9803
 yɛantan                 	 yɛatan                  	0.1553
 yepuei                  	 yepuei                  	0.7720
 ɔsoɔmmerɛfo             	 ɔsoɔmmerɛfo             	0.5539
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 nkyerɛkyerɛ             	 nkyerɛkyerɛ             	0.3078
 Lollardfo               	 Lollardfo               	0.7553
 Romosa                  	 Romosa                  	0.9516
 Amaniampɔn              	 Amoniampɔn              	0.0426
 Balamon                 	 Balamon                 	0.9912
 Silpa                   	 Silpa                   	0.5912
 yenhyia                 	 yenhyia                 	0.3566
 wɔbɛsew                 	 wɔbɛsew                 	0.3940
 Mihia                   	 Mihia                   	0.9779
 ɔfaeɛ                   	 ɔfaeɛ                   	0.9913
 wɔkɔe                   	 wɔkɔe                   	0.6595
 nnɔnnsia                	 nnɔnnsia                	0.6531
 HWANG                   	 HWANG                   	0.9667
 Afism                   	 Afism                   	0.8278
 Via                     	 Via                     	0.5818
 ɔbɛpamo                 	 ɔbɛpamo                 	0.7820
 ɔmmɛhyira               	 ɔmmɛhyira               	0.8045
 Distanɔe                	 Distanɔe                	0.2869
 aɔɔording               	 aɔɔording               	0.4920
 BILLINGS                	 BILLINGS                	0.1843
 Yadin                   	 Yadin                   	0.9839
 hwɛ                     	 hwɛ                     	0.7477
 ɔkannifo                	 ɔkannifo                	0.9728
 Metua                   	 Metua                   	0.6943
 Okuaa.                  	 Okuaa.                  	0.9404
 Loesɔher                	 Loesɔher                	0.9954
 frɔmfrɔm.               	 frɔmfrɔm.               	0.7015
 nkyenhahan              	 nkyenhanen              	0.1223
 miɔrowave               	 miɔruwase               	0.2366
 Tarsis                  	 Tarsis                  	0.9722
 wira?                   	 wira?                   	0.4588
 woduaduaa               	 woduaduaa               	0.7949
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Muntwitwa               	 Muntwitwa               	0.5669
 monnie.                 	 monnie.                 	0.4556
 ɛhyɛɛ                   	 ɛhyɛɛ                   	0.9977
 Blaɔkburn               	 Btaɔkburo               	0.2233
 Wprost                  	 Wprost                  	0.9004
 asakrasakra             	 asakrasakra             	0.3390
 hɔ                      	 hɔ                      	0.9973
 kɛntɛnnwene             	 kɛntɛnnwene             	0.3015
 hwehwɛbea               	 hwehwɛbea               	0.8885
 yɛawatriw               	 yɛawatriw               	0.3919
 Bologna                 	 Bologna                 	0.7340
 Helafoɔ                 	 Helafoɔ                 	0.9985
 anikyeɛ!                	 anikyeɛ!                	0.9669
 Ehua                    	 Ehua                    	0.3765
 Mannu                   	 Mannu                   	0.5165
 rehwɛ.                  	 rehwɛ.                  	0.5582
 kabea                   	 kabea                   	0.7394
 Yɛwoo                   	 Yɛwoo                   	0.7384
 ELUL                    	 ELUL                    	0.9824
 koankorɔ                	 koankorɔ                	0.9941
 Wɔremfiri               	 Wɔremfiri               	0.4772
 Referenɔes              	 Referenɔes              	0.4997
 wokopuee                	 wokopuee                	0.8437
 epie                    	 epie                    	0.8955
 ɔkasafoɔ                	 ɔkasafoɔ                	0.6132
 oguannam                	 oguanmam                	0.2794
 ɔkoto                   	 ɔkoto                   	0.8041
 akokoaa                 	 akokoaa                 	0.8050
 ɛbue                    	 ɛbue                    	0.7751
 nnwomtoɔ                	 nnwomtoɔ                	0.9156
 susui                   	 susui                   	0.9025
 bien                    	 bien                    	0.5433
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 yɛkyekyɛm               	 yɛkyekyɛm               	0.5644
 ɔhene                   	 ɔhene                   	0.9911
 moaba                   	 moaba                   	0.9703
 Yɛabue                  	 Yɛabue                  	0.4856
 ɔnkyekyere              	 ankyekyeee              	0.0485
 ype                     	 ype                     	0.9456
 ANIDASO                 	 ANIDASO                 	0.5173
 wonhwɛɛ                 	 wonhwɛɛ                 	0.5096
 Asennibea               	 Asernibeoa              	0.0676
 okurakura               	 okurakura               	0.4202
 Wobɛwo                  	 Wobɛwo                  	0.3633
 NHUMU                   	 NHUMU                   	0.8796
 Merɔier                 	 Merɔier                 	0.9425
 Alamy                   	 Alamy                   	0.9889
 Into                    	 Into                    	0.8563
 Seismologiɔal           	 Geamniogiɔat            	0.0288
 MɔDougall               	 MɔDougall               	0.6050
 Yenkura                 	 Yenkura                 	0.6708
 ɔrete                   	 ɔrete                   	0.6625
 puee                    	 puee                    	0.9574
 rekda                   	 rekda                   	0.9356
 Nkyerɛɛ                 	 Nkyerɛɛ                 	0.9805
 yrehwehw                	 yrehwehw                	0.3221
 Bibles                  	 Bibles                  	0.6951
 FRANKAAKYIA             	 TRANEAMETiA             	0.0015
 wɔmmɛsom                	 wɔmmɛsom                	0.5411
 AWAREGU                 	 AWAREGU                 	0.8289
 Isidore                 	 Isidore                 	0.9650
 Pung                    	 Pung                    	0.9803
 yɛantan                 	 yɛatan                  	0.1553
 yepuei                  	 yepuei                  	0.7720
 ɔsoɔmmerɛfo             	 ɔsoɔmmerɛfo             	0.5539
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 ɔnnsa                   	 ɔnnsa                   	0.9891
 ..                      	 ..                      	0.8616
 Yɛtrae                  	 Yɛtrae                  	0.7065
 nwa                     	 nwa                     	0.9997
 ɛKɔɔ                    	 ɛKɔɔ                    	0.9736
 maɔhuɔa                 	 maɔhuɔa                 	0.8943
 wususuwii               	 wususuwii               	0.4642
 mansini.                	 mansini.                	0.8319
 REMA                    	 REMA                    	0.9360
 koogyan                 	 koegyan                 	0.7053
 wasen                   	 wasen                   	0.9892
 dasuo                   	 dasuo                   	0.3777
 mone                    	 mone                    	0.9957
 Tweasin                 	 Tweasin                 	0.6624
 Apae                    	 Apae                    	0.9971
 akwantufo               	 akwantufo               	0.4376
 WOYIYI                  	 WOYIYI                  	0.8090
 abusuafoɔ.              	 abusuafoɔ.              	0.1887
 Hymes                   	 Hymez                   	0.5217
 nkɔtɔdwe                	 nkɔtɔdwe                	0.8021
 Ann                     	 Ann                     	0.9981
 wofow                   	 wofow                   	0.9380
 Disan.                  	 Disan.                  	0.8072
 Nokware                 	 Nokware                 	0.6064
 akɔhyɛn                 	 akɔhyɛn                 	0.4710
 twaeɛ                   	 twaeɛ                   	0.2683
 Giovanni                	 Giovanni                	0.8942
 Arizpe                  	 Arizpe                  	0.5577
 Spur                    	 Spur                    	0.3797
 nkonyaa                 	 nkonyaa                 	0.7221
 Kadmonifoɔ              	 Kadeenifoɔ              	0.0564
 gyegyeegyeyɛ.           	 gyegyeegyeyɛ.           	0.9048
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Ntummoa                 	 Ntummoa                 	0.4545
 Anakfoɔ                 	 Anakfoɔ                 	0.8139
 Bordo                   	 Bordo                   	0.9799
 Outlines                	 Outines                 	0.7425
 huro                    	 huro                    	0.6138
 ENKOSI                  	 ENKOSI                  	0.9223
 ay                      	 ay                      	0.9845
 wansom                  	 wansom                  	0.5751
 nnipa                   	 nnipa                   	0.3075
 mennka                  	 mennka                  	0.9941
 Duabo                   	 Duabo                   	0.5198
 ɔhwehwɛ                 	 ɔhwehwɛ                 	0.5065
 nohoa                   	 nohoa                   	0.5087
 Pursue                  	 Pursue                  	0.9793
 wɔtɔe                   	 wɔtɔe                   	0.9859
 Australiafo             	 Australiafo             	0.8729
 ɔkɔyɛɛ                  	 ɔkɔsɛɛ                  	0.6617
 b                       	 b                       	0.9996
 Atwitware               	 Atwitware               	0.4979
 kyeww.                  	 kyeww.                  	0.7029
 Wɔntwe                  	 Wɔntwe                  	0.6017
 Prostak                 	 Prostak                 	0.6876
 Boaboa                  	 Boaboa                  	0.5994
 abotan                  	 abotan                  	0.9869
 atiefo                  	 atiefo                  	0.5475
 merentena               	 merentena               	0.7542
 asɔn                    	 asɔn                    	0.9856
 nkyea.                  	 nkyea.                  	0.6353
 brɛ?                    	 brɛ?                    	0.5908
 ONLINE                  	 ONLINE                  	0.4128
 abereɛ                  	 abereɛ                  	0.9540
 Raama                   	 Raama                   	0.7915
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Answers                 	 Answers                 	0.8317
 ntotoe                  	 ntotoe                  	0.9429
 toɔ.                    	 toɔ.                    	0.9841
 Behaviors               	 Behaviors               	0.5644
 anokwa                  	 anokwa                  	0.3822
 wɔfae                   	 wɔfae                   	0.8011
 wokunkumm               	 wokunkumm               	0.5598
